Unspecified,Mosquitoes,177.0
Unspecified,Animal-Abuse,122.0
Unspecified,Cooling Tower,107.0
Unspecified,Taxi Licensee Complaint,104.66666666666667
Unspecified,Rodent,97.33333333333333
QUEENS,X-Ray Machine/Equipment,136.5
QUEENS,Graffiti,125.85026335590669
QUEENS,Mosquitoes,114.04046242774567
QUEENS,Bottled Water,96.0
QUEENS,Facades,80.84
BROOKLYN,Graffiti,124.64126587549448
BROOKLYN,Mosquitoes,120.34074074074074
BROOKLYN,Forensic Engineering,114.5
BROOKLYN,New Tree Request,73.70097670924117
BROOKLYN,Taxi Complaint,70.3076923076923
BRONX,Graffiti,127.40996398559423
BRONX,Mosquitoes,111.8125
BRONX,Sustainability Enforcement,81.6078431372549
BRONX,New Tree Request,69.28930817610063
BRONX,Taxi Complaint,66.09905660377359
MANHATTAN,X-Ray Machine/Equipment,130.33333333333334
MANHATTAN,Graffiti,118.33319805194805
MANHATTAN,Radioactive Material,115.0
MANHATTAN,Mosquitoes,109.66666666666667
MANHATTAN,Electric,101.0
STATEN ISLAND,Mosquitoes,130.3095238095238
STATEN ISLAND,Graffiti,113.79741379310344
STATEN ISLAND,Stalled Sites,96.0
STATEN ISLAND,Municipal Parking Facility,88.33333333333333
STATEN ISLAND,New Tree Request,82.15686274509804
