,correctly predict,truly total,total predict,precision,recall
WEBSITE,7,9,7,1,0.777777778
BOROUGH,13,22,13,1,0.590909091
SUBJECT_IN_SCHOOL,15,18,15,1,0.833333333
LAT_LON_CORD,10,10,10,1,1
CITY_AGENCY,12,14,13,0.923076923,0.857142857
ZIP_CODE,10,15,10,1,0.666666667
PHONE_NUMBER,11,11,11,1,1
PERSON_NAME,23,25,23,1,0.92
COLOR,8,8,8,1,1
SCHOOL_LEVEL,14,14,14,1,1
NEIGHBORHOOD,11,23,11,1,0.47826087
CITY,12,13,21,0.571428571,0.923076923
AREA_OF_STUDY,9,9,10,0.9,1
ADDRESS,5,26,5,1,0.192307692
BUSINESS_NAME,6,18,8,0.75,0.333333333
CAR_MAKE,11,13,11,1,0.846153846
BUILDING_CLASSIFICATION,9,9,10,0.9,1
LOCATION_TYPE,2,3,2,1,0.666666667
PARK_PLAYGROUND,5,7,6,0.833333333,0.714285714
SCHOOL_NAME,15,18,17,0.882352941,0.833333333
STREET_NAME,23,27,33,0.696969697,0.851851852
VEHICLE_TYPE,7,7,9,0.777777778,1
COLLEGE_NAME,0,2,0,0,0
